CustomerName,total_profit,total_Qty,total_sales,customer_segment,RowID,CustomerSegment,Region,StateOrProvince,City,PostalCode
"Helen Stein",9818.77,69,16700.95,"most active customer",25296,Consumer,East,Ohio,Cincinnati,45231
"Helen Stein",9818.77,69,16700.95,"most active customer",23292,Corporate,East,Ohio,Cincinnati,45231
"Helen Stein",9818.77,69,16700.95,"most active customer",23291,Corporate,East,Ohio,Cincinnati,45231
"Helen Stein",9818.77,69,16700.95,"most active customer",23290,Corporate,East,Ohio,Cincinnati,45231
"Helen Stein",9818.77,69,16700.95,"most active customer",23880,Corporate,East,Ohio,Cincinnati,45231
"Helen Stein",9818.77,69,16700.95,"most active customer",23639,Consumer,East,Ohio,Cincinnati,45231
"Richard McClure",9700.95,131,16355.43,"most active customer",19400,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18736,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18737,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18738,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18810,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",22379,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",24666,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18575,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",18576,"Small Business",West,Colorado,Thornton,80229
"Richard McClure",9700.95,131,16355.43,"most active customer",22380,"Small Business",West,Colorado,Thornton,80229
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5501,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5502,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5786,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5787,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5788,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5789,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",8250,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4896,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4897,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4898,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",6104,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5904,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",5450,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4608,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4609,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",3164,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",407,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",725,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",726,"Home Office",Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4605,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",4606,Corporate,Central,Illinois,Chicago,60601
"Leigh Burnette Hurley",9289.94,992,83651.7,"most active customer",3984,"Home Office",Central,Illinois,Chicago,60601
"Lester Stuart",9248.89,119,14954.99,"most active customer",23876,Corporate,Central,Minnesota,Roseville,55113
"Lester Stuart",9248.89,119,14954.99,"most active customer",25809,Corporate,Central,Minnesota,Roseville,55113
"Lester Stuart",9248.89,119,14954.99,"most active customer",25569,Corporate,Central,Minnesota,Roseville,55113
"Lester Stuart",9248.89,119,14954.99,"most active customer",22879,Corporate,Central,Minnesota,Roseville,55113
"Lester Stuart",9248.89,119,14954.99,"most active customer",24411,Corporate,Central,Minnesota,Roseville,55113
"Annie Odom",9243.58,77,13850.56,"most active customer",21697,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",21698,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",21699,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",21476,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",21477,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",21726,Corporate,East,"New York","New City",10956
"Annie Odom",9243.58,77,13850.56,"most active customer",20820,Corporate,East,"New York","New City",10956
"Edna Pierce",9118.14,94,10883.06,"most active customer",22593,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",22742,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",22743,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",19290,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",19291,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",19292,Corporate,South,"North Carolina",Goldsboro,27534
"Edna Pierce",9118.14,94,10883.06,"most active customer",18884,Corporate,South,"North Carolina",Goldsboro,27534
"Grace Vaughn",8956.06,73,13016.75,"most active customer",26188,"Home Office",West,Arizona,Kingman,86401
"Grace Vaughn",8956.06,73,13016.75,"most active customer",25778,"Home Office",West,Arizona,Kingman,86401
"Bobby Dorsey",8808.32,74,13284.11,"most active customer",21327,Corporate,East,"New York",Hicksville,11801
"Bobby Dorsey",8808.32,74,13284.11,"most active customer",21328,Corporate,East,"New York",Hicksville,11801
"Bobby Dorsey",8808.32,74,13284.11,"most active customer",23757,Corporate,East,"New York",Hicksville,11801
"Bobby Dorsey",8808.32,74,13284.11,"most active customer",23758,Corporate,East,"New York",Hicksville,11801
"Bobby Dorsey",8808.32,74,13284.11,"most active customer",25299,Corporate,East,"New York",Hicksville,11801
"Christopher Meadows",8804.81,43,15309.4,others,18566,"Small Business",East,"New York",Harrison,10528
"Christopher Meadows",8804.81,43,15309.4,others,18567,"Small Business",East,"New York",Harrison,10528
"Christopher Meadows",8804.81,43,15309.4,others,18568,"Small Business",East,"New York",Harrison,10528
"Christopher Meadows",8804.81,43,15309.4,others,19084,"Small Business",East,"New York",Harrison,10528
"Christopher Meadows",8804.81,43,15309.4,others,19085,"Small Business",East,"New York",Harrison,10528
"George Shields",8774.65,56,16352.48,"most active customer",24318,Corporate,Central,Oklahoma,Stillwater,74074
"George Shields",8774.65,56,16352.48,"most active customer",24383,Corporate,Central,Oklahoma,Stillwater,74074
"George Shields",8774.65,56,16352.48,"most active customer",24384,Corporate,Central,Oklahoma,Stillwater,74074
"George Shields",8774.65,56,16352.48,"most active customer",25435,Corporate,Central,Oklahoma,Stillwater,74074
"George Shields",8774.65,56,16352.48,"most active customer",25436,Corporate,Central,Oklahoma,Stillwater,74074
"George Shields",8774.65,56,16352.48,"most active customer",25114,Corporate,Central,Oklahoma,Stillwater,74074
"Miriam Snow",8759.73,79,13128.18,"most active customer",21439,"Home Office",Central,Texas,Tyler,75701
"Miriam Snow",8759.73,79,13128.18,"most active customer",21444,"Small Business",Central,Texas,Tyler,75701
"Miriam Snow",8759.73,79,13128.18,"most active customer",21445,"Small Business",Central,Texas,Tyler,75701
"Frank Cross",8654.06,205,44016.49,"most active customer",1008,Corporate,East,"New York","New York City",10177
"Frank Cross",8654.06,205,44016.49,"most active customer",5771,Corporate,East,"New York","New York City",10177
"Frank Cross",8654.06,205,44016.49,"most active customer",3571,Corporate,East,"New York","New York City",10177
"Frank Cross",8654.06,205,44016.49,"most active customer",3572,Corporate,East,"New York","New York City",10177
"Frank Cross",8654.06,205,44016.49,"most active customer",5770,Corporate,East,"New York","New York City",10177
"Ruth Stout",8434.54,36,14511.03,"most active customer",21165,Corporate,West,California,"Foster City",94404
"Ruth Stout",8434.54,36,14511.03,"most active customer",24263,Corporate,West,California,"Foster City",94404
"Ruth Stout",8434.54,36,14511.03,"most active customer",23047,Corporate,West,California,"Foster City",94404
"Ruth Stout",8434.54,36,14511.03,"most active customer",25361,Corporate,West,California,"Foster City",94404
"Ruth Stout",8434.54,36,14511.03,"most active customer",24437,Corporate,West,California,"Foster City",94404
"Alfred Barber",8368.8,84,20072.38,"most active customer",23501,Corporate,Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23789,Corporate,Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23788,Corporate,Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23787,Corporate,Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23450,"Home Office",Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23786,Corporate,Central,Missouri,Mehlville,63129
"Alfred Barber",8368.8,84,20072.38,"most active customer",23502,Corporate,Central,Missouri,Mehlville,63129
"Donald Montgomery",8007.35,44,12933.97,"active customer",21962,"Small Business",West,Oregon,Portland,97206
"Donald Montgomery",8007.35,44,12933.97,"active customer",18934,"Small Business",West,Oregon,Portland,97206
"Donald Montgomery",8007.35,44,12933.97,"active customer",18935,"Small Business",West,Oregon,Portland,97206
"Donald Montgomery",8007.35,44,12933.97,"active customer",21623,"Small Business",West,Oregon,Portland,97206
"Rick Ellis",7730.01,58,2267.29,"active customer",22022,"Small Business",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",22021,"Small Business",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",21331,"Home Office",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",23439,"Small Business",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",20330,"Home Office",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",20329,"Home Office",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",19583,"Small Business",South,Virginia,Springfield,22153
"Rick Ellis",7730.01,58,2267.29,"active customer",19902,"Home Office",South,Virginia,Springfield,22153
"Ken H Frazier",7681.04,33,1044.44,others,19000,Consumer,South,Virginia,Oakton,22124
"Ken H Frazier",7681.04,33,1044.44,others,18172,Consumer,South,Virginia,Oakton,22124
"Ken H Frazier",7681.04,33,1044.44,others,19667,Consumer,South,Virginia,Oakton,22124
"Ken H Frazier",7681.04,33,1044.44,others,19001,Consumer,South,Virginia,Oakton,22124
"Mary Larson",7608.04,37,12952.11,others,18807,"Small Business",Central,Minnesota,Woodbury,55125
"Mary Larson",7608.04,37,12952.11,others,18315,"Home Office",Central,Minnesota,Woodbury,55125
"Mary Larson",7608.04,37,12952.11,others,18314,"Home Office",Central,Minnesota,Woodbury,55125
"Mary Larson",7608.04,37,12952.11,others,19363,Consumer,Central,Minnesota,Woodbury,55125
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",20027,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",20026,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",20025,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",19731,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",19730,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",18789,"Small Business",East,"New York",Centereach,11720
"Patrick Hendrix",7529.14,107,27828.72,"most active customer",20289,"Small Business",East,"New York",Centereach,11720
"Marguerite Norton",7513.58,111,16774.58,"most active customer",19432,Consumer,Central,Wisconsin,Franklin,53132
"Marguerite Norton",7513.58,111,16774.58,"most active customer",19433,Consumer,Central,Wisconsin,Franklin,53132
"Marguerite Norton",7513.58,111,16774.58,"most active customer",19434,Consumer,Central,Wisconsin,Franklin,53132
"Marguerite Norton",7513.58,111,16774.58,"most active customer",19435,Consumer,Central,Wisconsin,Franklin,53132
"Marguerite Norton",7513.58,111,16774.58,"most active customer",19092,"Small Business",Central,Wisconsin,Franklin,53132
"Anita Kang",7458.67,82,19719.22,"most active customer",21479,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",21478,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",19727,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",19154,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",21711,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",19258,Corporate,Central,Illinois,Mundelein,60060
"Anita Kang",7458.67,82,19719.22,"most active customer",20483,Corporate,Central,Illinois,Mundelein,60060
"Joshua Keller",7430.03,84,11905.54,"most active customer",25530,"Small Business",Central,Illinois,Schaumburg,60193
"Joshua Keller",7430.03,84,11905.54,"most active customer",25344,"Small Business",Central,Illinois,Schaumburg,60193
"Joshua Keller",7430.03,84,11905.54,"most active customer",25343,"Small Business",Central,Illinois,Schaumburg,60193
"Shirley Meadows",7362.3,74,13465.07,others,21794,Consumer,Central,Texas,Corsicana,75109
"Shirley Meadows",7362.3,74,13465.07,others,21795,Consumer,Central,Texas,Corsicana,75109
"Shirley Meadows",7362.3,74,13465.07,others,19579,Consumer,Central,Texas,Corsicana,75109
"Shirley Meadows",7362.3,74,13465.07,others,19580,Consumer,Central,Texas,Corsicana,75109
"Shelley Grant",7278.72,46,10887.77,"most active customer",21572,Corporate,Central,Missouri,"Jefferson City",65109
"Shelley Grant",7278.72,46,10887.77,"most active customer",21571,Corporate,Central,Missouri,"Jefferson City",65109
"Shelley Grant",7278.72,46,10887.77,"most active customer",23771,Corporate,Central,Missouri,"Jefferson City",65109
"Shelley Grant",7278.72,46,10887.77,"most active customer",23770,Corporate,Central,Missouri,"Jefferson City",65109
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",7097,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",7095,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",5927,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",1580,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",1579,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",4038,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",3795,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",3794,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",5285,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",5284,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",5283,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",7098,Consumer,East,"New York","New York City",10165
"Rosemary O'Brien",7272.49,693,86540.75,"most active customer",7096,Consumer,East,"New York","New York City",10165
"Gordon Brandt",7228.9,748,123745.62,"most active customer",4444,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",6041,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",987,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",986,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",985,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5235,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5234,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5233,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5232,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",4281,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",4280,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",3443,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5498,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5497,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",5496,Corporate,West,California,"Los Angeles",90061
"Gordon Brandt",7228.9,748,123745.62,"most active customer",2063,Corporate,West,California,"Los Angeles",90061
"Kyle Bloom",7223.67,30,7767.55,"active customer",22635,Consumer,South,"North Carolina","Fort Bragg",28307
"Kyle Bloom",7223.67,30,7767.55,"active customer",22636,Consumer,South,"North Carolina","Fort Bragg",28307
"Kyle Bloom",7223.67,30,7767.55,"active customer",26101,Consumer,South,"North Carolina","Fort Bragg",28307
"Kyle Bloom",7223.67,30,7767.55,"active customer",22055,Consumer,South,"North Carolina","Fort Bragg",28307
"Caroline Morton",7221.82,322,52806.01,"most active customer",7299,Corporate,South,Florida,Miami,33178
"Caroline Morton",7221.82,322,52806.01,"most active customer",5758,Corporate,South,Florida,Miami,33178
"Caroline Morton",7221.82,322,52806.01,"most active customer",5757,Corporate,South,Florida,Miami,33178
"Caroline Morton",7221.82,322,52806.01,"most active customer",2915,Corporate,South,Florida,Miami,33178
"Caroline Morton",7221.82,322,52806.01,"most active customer",3328,Corporate,South,Florida,Miami,33178
"Caroline Morton",7221.82,322,52806.01,"most active customer",3327,Corporate,South,Florida,Miami,33178
"Juanita Ballard",7188.14,95,21661.96,"most active customer",24872,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",24522,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",25180,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",25886,Corporate,East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",25317,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",24871,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",25791,"Small Business",East,Ohio,Kent,44240
"Juanita Ballard",7188.14,95,21661.96,"most active customer",25792,"Small Business",East,Ohio,Kent,44240
"Brad Stark",7051.46,35,5404.04,"most active customer",25113,"Home Office",South,"North Carolina",Eden,27288
"Brad Stark",7051.46,35,5404.04,"most active customer",26392,"Home Office",South,"North Carolina",Eden,27288
"Brad Stark",7051.46,35,5404.04,"most active customer",25112,"Home Office",South,"North Carolina",Eden,27288
"Brad Stark",7051.46,35,5404.04,"most active customer",24975,"Small Business",South,"North Carolina",Eden,27288
"Jeanette Davies",7024.21,15,10180.01,others,18217,"Home Office",East,Maine,Bangor,4401
"Pamela C Kane",6914.13,20,10020.48,"can not lose",22255,Corporate,East,"New Jersey","Maple Shade",8052
"Ellen Kirkland",6761.29,97,11765.4,others,23714,"Home Office",Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,22151,Consumer,Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,23857,Consumer,Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,22844,Consumer,Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,23715,"Home Office",Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,25924,"Home Office",Central,Indiana,Marion,46952
"Ellen Kirkland",6761.29,97,11765.4,others,25925,"Home Office",Central,Indiana,Marion,46952
"Lillian Day",6674.65,56,9847.61,"most active customer",26036,"Small Business",East,Ohio,"Shaker Heights",44118
"Lillian Day",6674.65,56,9847.61,"most active customer",25019,"Small Business",East,Ohio,"Shaker Heights",44118
"Lillian Day",6674.65,56,9847.61,"most active customer",26082,Consumer,East,Ohio,"Shaker Heights",44118
"Lillian Day",6674.65,56,9847.61,"most active customer",26037,"Small Business",East,Ohio,"Shaker Heights",44118
"Lillian Day",6674.65,56,9847.61,"most active customer",25761,"Small Business",East,Ohio,"Shaker Heights",44118
"Evan Shore",6644.64,9,9629.91,others,21668,Corporate,East,"New Jersey","Atlantic City",8401
"Kelly Byers",6593.4,58,12762.61,"most active customer",22098,Consumer,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",22094,Consumer,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",23003,Corporate,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",23259,Corporate,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",22097,Consumer,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",22096,Consumer,West,Oregon,Woodburn,97071
"Kelly Byers",6593.4,58,12762.61,"most active customer",22095,Consumer,West,Oregon,Woodburn,97071
"Valerie Hahn",6576.02,49,11994.19,"most active customer",22170,Consumer,West,Washington,Bothell,98011
"Valerie Hahn",6576.02,49,11994.19,"most active customer",22171,Consumer,West,Washington,Bothell,98011
"Valerie Hahn",6576.02,49,11994.19,"most active customer",22165,Consumer,West,Washington,Bothell,98011
"Valerie Hahn",6576.02,49,11994.19,"most active customer",22166,Consumer,West,Washington,Bothell,98011
"Valerie Hahn",6576.02,49,11994.19,"most active customer",22167,Consumer,West,Washington,Bothell,98011
"Randall Montgomery",6500.67,120,10245,"most active customer",20697,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",20698,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",19970,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",24218,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",23305,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",23306,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",22008,Consumer,East,"New York",Tonawanda,14150
"Randall Montgomery",6500.67,120,10245,"most active customer",22009,Consumer,East,"New York",Tonawanda,14150
"Glen Caldwell",6469.93,986,89269.7,"most active customer",5730,Consumer,West,Washington,Seattle,98115
"Glen Caldwell",6469.93,986,89269.7,"most active customer",224,Consumer,West,Washington,Seattle,98115
"Glen Caldwell",6469.93,986,89269.7,"most active customer",5686,Consumer,West,Washington,Seattle,98115
